x-axis,1,2,3
second,Volt,Volt,Volt
-6.760000E+00,-80.402E-03,+301.508E-03,+1.206030E+00
-6.757500E+00,-125.628E-03,+241.206E-03,+1.236181E+00
-6.755000E+00,-160.804E-03,+271.357E-03,+1.236181E+00
-6.752500E+00,-80.402E-03,+241.206E-03,+1.221106E+00
-6.750000E+00,-80.402E-03,+241.206E-03,+1.206030E+00
-6.747500E+00,-95.477E-03,+256.281E-03,+1.221106E+00
-6.745000E+00,-160.804E-03,+241.206E-03,+1.236181E+00
-6.742500E+00,-125.628E-03,+241.206E-03,+1.286432E+00
-6.740000E+00,-80.402E-03,+241.206E-03,+1.206030E+00
-6.737500E+00,-80.402E-03,+241.206E-03,+1.206030E+00
-6.735000E+00,-160.804E-03,+241.206E-03,+1.221106E+00
-6.732500E+00,-80.402E-03,+271.357E-03,+1.251256E+00
-6.730000E+00,-125.628E-03,+241.206E-03,+1.206030E+00
-6.727500E+00,-95.477E-03,+241.206E-03,+1.206030E+00
-6.725000E+00,-75.377E-03,+321.608E-03,+1.286432E+00
-6.722500E+00,+4.422111E+00,+241.206E-03,+1.206030E+00
-6.720000E+00,+4.452261E+00,+286.432E-03,+1.206030E+00
-6.717500E+00,+4.422111E+00,+286.432E-03,+1.206030E+00
-6.715000E+00,+4.482412E+00,+241.206E-03,+1.206030E+00
-6.712500E+00,+4.422111E+00,+241.206E-03,+1.206030E+00
-6.710000E+00,+4.482412E+00,+256.281E-03,+1.266332E+00
-6.707500E+00,+4.422111E+00,+241.206E-03,+1.206030E+00
-6.705000E+00,+4.422111E+00,+286.432E-03,+1.206030E+00
-6.702500E+00,+4.422111E+00,+241.206E-03,+1.206030E+00
-6.700000E+00,+4.422111E+00,+316.583E-03,+1.206030E+00
-6.697500E+00,+4.482412E+00,+301.508E-03,+1.206030E+00
-6.695000E+00,+4.422111E+00,+241.206E-03,+1.286432E+00
-6.692500E+00,+4.422111E+00,+241.206E-03,+1.206030E+00
-6.690000E+00,+4.422111E+00,+301.508E-03,+1.266332E+00
-6.687500E+00,+4.422111E+00,+241.206E-03,+1.206030E+00
-6.685000E+00,+4.437186E+00,+256.281E-03,+1.206030E+00
-6.682500E+00,+4.467337E+00,+271.357E-03,+1.206030E+00
-6.680000E+00,+4.422111E+00,+271.357E-03,+1.236181E+00
-6.677500E+00,+4.422111E+00,+301.508E-03,+1.266332E+00
-6.675000E+00,+4.422111E+00,+241.206E-03,+1.281407E+00
-6.672500E+00,+4.422111E+00,+241.206E-03,+1.266332E+00
-6.670000E+00,+4.467337E+00,+271.357E-03,+1.286432E+00
-6.667500E+00,+4.422111E+00,+271.357E-03,+1.286432E+00
-6.665000E+00,+4.437186E+00,+241.206E-03,+1.221106E+00
-6.662500E+00,+4.422111E+00,+321.608E-03,+1.206030E+00
-6.660000E+00,+4.422111E+00,+256.281E-03,+1.170854E+00
-6.657500E+00,+4.452261E+00,+321.608E-03,+1.125628E+00
-6.655000E+00,+4.422111E+00,+321.608E-03,+1.125628E+00
-6.652500E+00,+4.422111E+00,+256.281E-03,+1.125628E+00
-6.650000E+00,+4.497487E+00,+241.206E-03,+1.125628E+00
-6.647500E+00,+4.422111E+00,+256.281E-03,+1.125628E+00
-6.645000E+00,+4.422111E+00,+321.608E-03,+1.125628E+00
-6.642500E+00,+4.422111E+00,+271.357E-03,+1.125628E+00
-6.640000E+00,+4.422111E+00,+321.608E-03,+1.125628E+00
-6.637500E+00,+4.422111E+00,+316.583E-03,+1.125628E+00
-6.635000E+00,+4.482412E+00,+256.281E-03,+1.125628E+00
-6.632500E+00,+4.422111E+00,+321.608E-03,+1.125628E+00
-6.630000E+00,+4.422111E+00,+286.432E-03,+1.125628E+00
-6.627500E+00,+4.422111E+00,+241.206E-03,+1.125628E+00
-6.625000E+00,+4.497487E+00,+321.608E-03,+1.125628E+00
